Id,Label,type
Mona Maris,Mona Maris,Actor
Walter C. Kelly,Walter C. Kelly,Actor
Steve Pendleton,Steve Pendleton,Actor
Larry Kent,Larry Kent,Actor
Henry Victor,Henry Victor,Actor
John Loder,John Loder,Actor
Edmund Gwenn,Edmund Gwenn,Actor
Jill Esmond,Jill Esmond,Actor
C.V. France,C.V. France,Actor
Helen Haye,Helen Haye,Actor
Frank Lawton,Frank Lawton,Actor
Herbert Ross,Herbert Ross,Actor
Dora Gregory,Dora Gregory,Actor
Pat O'Brien,Pat O'Brien,Actor
Ralph Bellamy,Ralph Bellamy,Actor
Gloria Stuart,Gloria Stuart,Actor
Lilian Bond,Lilian Bond,Actor
David Landau,David Landau,Actor
Hans Fuerberg,Hans Fuerberg,Actor
Leon M. Lion,Leon M. Lion,Actor
Anne Grey,Anne Grey,Actor
Barry Jones,Barry Jones,Actor
Ann Casson,Ann Casson,Actor
Henry Caine,Henry Caine,Actor
Garry Marsh,Garry Marsh,Actor
Pearl Hay,Pearl Hay,Actor
Herbert Langley,Herbert Langley,Actor
Henry Kendall,Henry Kendall,Actor
Joan Barry,Joan Barry,Actor
Percy Marmont,Percy Marmont,Actor
Betty Amann,Betty Amann,Actor
Elsie Randolph,Elsie Randolph,Actor
Arty Ash,Arty Ash,Actor
Aubrey Dexter,Aubrey Dexter,Actor
Bill Shine,Bill Shine,Actor
Will Rogers,Will Rogers,Actor
Marian Nixon,Marian Nixon,Actor
Vera Allen,Vera Allen,Actor
Howard Lally,Howard Lally,Actor
Berton Churchill,Berton Churchill,Actor
Louise Dresser,Louise Dresser,Actor
Andy Devine,Andy Devine,Actor
Rochelle Hudson,Rochelle Hudson,Actor
Tempe Pigott,Tempe Pigott,Actor
Elizabeth Patterson,Elizabeth Patterson,Actor
Henrietta Crosman,Henrietta Crosman,Actor
Heather Angel,Heather Angel,Actor
Norman Foster,Norman Foster,Actor
Lucille La Verne,Lucille La Verne,Actor
Maurice Murphy,Maurice Murphy,Actor
Jay Ward,Jay Ward,Actor
Robert Warwick,Robert Warwick,Actor
Louise Carter,Louise Carter,Actor
Betty Blythe,Betty Blythe,Actor
Esmond Knight,Esmond Knight,Actor
Jessie Matthews,Jessie Matthews,Actor
Fay Compton,Fay Compton,Actor
Frank Vosper,Frank Vosper,Actor
Robert Hale,Robert Hale,Actor
Charles Heslop,Charles Heslop,Actor
Hindle Edgar,Hindle Edgar,Actor
Marcus Barron,Marcus Barron,Actor
Betty Huntley-Wright,Betty Huntley-Wright,Actor
Tom Brown,Tom Brown,Actor
Anita Louise,Anita Louise,Actor
Roger Imhof,Roger Imhof,Actor
Frank Melton,Frank Melton,Actor
Charley Grapewin,Charley Grapewin,Actor
Boris Karloff,Boris Karloff,Actor
Wallace Ford,Wallace Ford,Actor
Reginald Denny,Reginald Denny,Actor
J.M. Kerrigan,J.M. Kerrigan,Actor
Billy Bevan,Billy Bevan,Actor
Douglas Walton,Douglas Walton,Actor
Sammy Stein,Sammy Stein,Actor
Leslie Banks,Leslie Banks,Actor
Edna Best,Edna Best,Actor
Peter Lorre,Peter Lorre,Actor
Hugh Wakefield,Hugh Wakefield,Actor
Nova Pilbeam,Nova Pilbeam,Actor
Pierre Fresnay,Pierre Fresnay,Actor
Cicely Oates,Cicely Oates,Actor
D.A. Clarke-Smith,D.A. Clarke-Smith,Actor
George Curzon,George Curzon,Actor
Pierre Mingand,Pierre Mingand,Actor
Paul Escoffier,Paul Escoffier,Actor
Danielle Darrieux,Danielle Darrieux,Actor
Raymond Galle,Raymond Galle,Actor
Michel Duran,Michel Duran,Actor
Marcel Maupi,Marcel Maupi,Actor
Gaby Héritier,Gaby Héritier,Actor
Paul Velsa,Paul Velsa,Actor
Georges Malkine,Georges Malkine,Actor
Jean Wall,Jean Wall,Actor
Madeleine Carroll,Madeleine Carroll,Actor
Franchot Tone,Franchot Tone,Actor
Sig Ruman,Sig Ruman,Actor
Raul Roulien,Raul Roulien,Actor
Stepin Fetchit,Stepin Fetchit,Actor
Dudley Digges,Dudley Digges,Actor
Robert Donat,Robert Donat,Actor
Lucie Mannheim,Lucie Mannheim,Actor
Godfrey Tearle,Godfrey Tearle,Actor
Peggy Ashcroft,Peggy Ashcroft,Actor
Frank Cellier,Frank Cellier,Actor
Wylie Watson,Wylie Watson,Actor
Gus McNaughton,Gus McNaughton,Actor
Preston Foster,Preston Foster,Actor
Margot Grahame,Margot Grahame,Actor
Una O'Connor,Una O'Connor,Actor
Joe Sawyer,Joe Sawyer,Actor
